,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.0482195545705,0.0447090113868,0.0239262985216,0.0227823100914,0.0902786994053,0.0899975437315,rACC
dACC,0.0503548076963,0.046767442291,0.0259020607616,0.0253906327652,0.0911677125979,0.0909005118196,dACC
vlPFC,0.0443318024669,0.0317174646904,0.010479232759,0.0134508174624,0.0731256678974,0.0728671620509,vlPFC
vmPFC,0.0515735319664,0.0352468007534,0.0121664890375,0.0151485486333,0.0802764615077,0.0800195378127,vmPFC
OFCant,0.0530650284234,0.0362464214663,0.0143067686798,0.0172319269845,0.0793637096347,0.0792911944399,OFCant
OFClat,0.0415827955181,0.0257348159145,0.00713237942675,0.0104177653379,0.0607620182966,0.0605898383136,OFClat
OFCmed,0.0601697393261,0.0492388518852,0.0258611069924,0.0278720414514,0.0954092010496,0.0953510389836,OFCmed
OFCpost,0.0556834128061,0.0431938484468,0.0199433553122,0.0237187403669,0.0872291966945,0.0870314289576,OFCpost
dmPFC,0.040848919812,0.0269746948241,0.00441495889292,0.00880410955073,0.0687671941661,0.0682727810287,dmPFC
dlPFC,0.0423940706961,0.0291841766799,0.00782769400724,0.0111897763794,0.0702966981394,0.0699672221766,dlPFC
MFG,0.0378100271814,0.0254669275722,0.0065662160138,0.00870596382698,0.0635190617075,0.063198538225,MFG
IFG,0.0453399586919,0.0384640531705,0.0189394522615,0.019952037275,0.0790597208971,0.0788091286202,IFG
