,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0225656268367,60.0554666148,2333975.10293,rACC
dACC,0.028134087564,68.4573632123,2316224.53754,dACC
vlPFC,0.0206363242939,57.8816248001,2493791.06943,vlPFC
vmPFC,0.0198045450388,57.4853998002,2498255.2844,vmPFC
OFCant,0.0152487321954,49.9208493018,2530073.24081,OFCant
OFClat,0.0117406675274,41.8740756834,2377779.18686,OFClat
OFCmed,0.0166188329593,51.4665420494,2319450.86506,OFCmed
OFCpost,0.0205697342124,56.5502901238,2444659.48402,OFCpost
dmPFC,0.0137013154861,46.6528691122,2798028.47224,dmPFC
dlPFC,0.0131772366574,45.9188090003,2985056.07825,dlPFC
MFG,0.0149214127315,48.7810482103,2904890.54178,MFG
IFG,0.0192827776936,55.7437446023,2654968.76666,IFG
