,value,choice,choice_prob
rACC,0.115722390094,-0.0332164336968,0.041969107511
dACC,0.12168359785,-0.0339520095383,0.0438912029163
vlPFC,0.109292582682,-0.0331908285272,0.0413035240825
vmPFC,0.115807287513,-0.0321830686302,0.0417717837184
OFCant,0.103087937661,-0.029626273053,0.0367015680127
OFClat,0.0913127184073,-0.029507335599,0.0333594636383
OFCmed,0.104759328149,-0.0313233575417,0.0362402480059
OFCpost,0.106750513581,-0.0318443743988,0.0394987484128
dmPFC,0.0980803621648,-0.028025654414,0.0356492475538
dlPFC,0.096492599748,-0.0297111909396,0.0347104706636
MFG,0.100193963765,-0.0290533585414,0.03758467093
IFG,0.10840816446,-0.0339079980596,0.042107977464
