,Divisive,RW Update,ROI
rACC,0.142121722772,0.136475748391,rACC
dACC,0.158201921253,0.15480254561,dACC
vlPFC,0.137913257848,0.130854064183,vlPFC
vmPFC,0.145816337452,0.13497858932,vmPFC
OFCant,0.13426853306,0.121181833338,OFCant
OFClat,0.113039627277,0.101059502297,OFClat
OFCmed,0.127894636072,0.120692457826,OFCmed
OFCpost,0.130959006969,0.127137255641,OFCpost
dmPFC,0.122527650182,0.111697112124,dmPFC
dlPFC,0.120757097696,0.109976679122,dlPFC
MFG,0.125737437885,0.115563189659,MFG
IFG,0.130374927788,0.125523665511,IFG
