,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.104220010815,0.115722390094,0.0995405192266,0.0969830998992,0.133138937873,0.132476602488,rACC
dACC,0.109407987242,0.12168359785,0.105506097096,0.103143516746,0.138798954252,0.13838176101,dACC
vlPFC,0.0999302703695,0.109292582682,0.0942669094577,0.091091139759,0.125706632804,0.125504863445,vlPFC
vmPFC,0.103814158873,0.115807287513,0.100496483244,0.0985733709839,0.131519864726,0.130883390567,vmPFC
OFCant,0.0928935649867,0.103087937661,0.0891411695035,0.0868000856857,0.117896643653,0.117617323035,OFCant
OFClat,0.0837744630018,0.0913127184073,0.076923494047,0.0745739817502,0.106191799002,0.106009077635,OFClat
OFCmed,0.0951098708337,0.104759328149,0.0904019530343,0.0880108154162,0.120354470649,0.119770849287,OFCmed
OFCpost,0.095896327198,0.106750513581,0.0899467760754,0.0880173400759,0.123687485181,0.12322102144,OFCpost
dmPFC,0.0868284194367,0.0980803621648,0.083058127119,0.0817726496616,0.113333026183,0.112622030148,dmPFC
dlPFC,0.0866080948067,0.096492599748,0.0825038538569,0.0808144482649,0.111173252433,0.110745290158,dlPFC
MFG,0.0911003270923,0.100193963765,0.0859177729978,0.0835845665771,0.115566878042,0.115084952204,MFG
IFG,0.0992529039125,0.10840816446,0.0940969483977,0.0905907035998,0.124575011445,0.124539638592,IFG
