,MC,MC by day,RW Update,RW Update by day,ROI
rACC,60.9006791845,62.585640856,64.3719544688,61.2652627792,rACC
dACC,67.4711114013,68.1403950975,73.0950938356,69.8070683581,dACC
vlPFC,59.6489153496,62.0475017192,61.4778682539,59.0030181588,vlPFC
vmPFC,63.5573408209,63.2393991764,63.8913785866,58.6835162343,vmPFC
OFCant,58.3316541015,57.4868998411,56.7522880534,51.1177533429,OFCant
OFClat,48.5308570708,49.1797546273,47.1694849395,42.9054064408,OFClat
OFCmed,54.1836407211,55.2553426005,56.6313172192,52.7359884404,OFCmed
OFCpost,54.7257169143,57.1329664559,59.568546486,57.705156748,OFCpost
dmPFC,52.2144923885,52.4981865021,52.621232743,47.7076752035,dmPFC
dlPFC,51.4231007223,51.6600809824,51.7320547968,46.9482090356,dlPFC
MFG,53.8207074475,54.7030259029,54.148518803,49.8292991445,MFG
IFG,56.852792138,59.3856703208,59.0257145095,56.777669816,IFG
