,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.02661500486452928,66.99085398867459,2333086.2314011883,0.14212172277235666,rACC
dACC,0.03216088806080697,74.64661004798387,2315335.5599628985,0.15820192125300125,dACC
vlPFC,0.024538024506860157,64.77928110317092,2492935.5048506698,0.13791325784767472,vlPFC
vmPFC,0.02647517708097269,68.95718725096609,2496807.7047693175,0.14581633745177766,vmPFC
OFCant,0.02204506714898724,62.909803633175294,2528605.453883321,0.13426853306029152,OFCant
OFClat,0.01657666053701834,52.78493421316655,2376732.9649013346,0.11303962727736956,OFClat
OFCmed,0.021027928500903736,59.988168509689416,2318490.5753869284,0.12789463607195628,OFCmed
OFCpost,0.023185600987718824,61.34586567580865,2444078.868364601,0.13095900696869675,OFCpost
dmPFC,0.01905441616271797,57.66413296058423,2796870.2272773264,0.12252765018186194,dmPFC
dlPFC,0.018366638998644658,56.75271722923911,2983933.242562603,0.12075709769605422,dlPFC
MFG,0.019997037491799374,58.91270535619966,2903789.9829508886,0.12573743788518787,MFG
IFG,0.022273538340619736,61.263221423906906,2654308.8804347715,0.13037492778767004,IFG
