,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0235544044139,61.8028820207,2333741.38606,0.128279938498,0.0232949689724,61.352814711,2333808.07515,0.128418179857,rACC
dACC,0.0286651385381,69.2893938606,2316087.97544,0.1439254632,0.0291670692002,70.0886484935,2315991.35649,0.146714791754,dACC
vlPFC,0.0212461017158,58.9944970056,2493638.59535,0.123060225338,0.0212266827935,58.9674313117,2493653.98441,0.123997053678,vlPFC
vmPFC,0.0197986880731,57.4567038044,2498234.03425,0.11884631963,0.0201677218544,58.1560804894,2498166.69843,0.121285447863,vmPFC
OFCant,0.0150080595899,49.3808525788,2530101.74138,0.103470265926,0.015417302697,50.2716111479,2530026.26529,0.106177103613,OFCant
OFClat,0.0115101876508,41.2596053858,2377805.35454,0.0865080366137,0.0119121693441,42.2960455666,2377731.71906,0.0894925255075,OFClat
OFCmed,0.0172961715871,52.8435693099,2319284.57507,0.110343188376,0.0172112325028,52.6799654923,2319313.86088,0.110909751091,OFCmed
OFCpost,0.0211938098185,57.7147998243,2444503.97029,0.120639175585,0.0214195794495,58.1457570419,2444467.07703,0.122561430891,OFCpost
dmPFC,0.013609406242,46.4200592636,2798025.42127,0.0963274135772,0.0140177830707,47.3620026252,2797950.25153,0.0991602103052,dmPFC
dlPFC,0.0129556074846,45.3782527239,2985080.44547,0.0943597516367,0.0134692607659,46.5824445263,2984983.06396,0.0977180257587,dlPFC
MFG,0.0148639323126,48.6338644048,2904880.22163,0.101704261192,0.0152483599293,49.4838838062,2904810.01725,0.104346356665,MFG
IFG,0.019884988492,56.8811562702,2654818.08316,0.11846151748,0.0198743798835,56.8699188231,2654831.59056,0.119413973326,IFG
