,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.019480068424878483,54.171464668052444,2334587.8653451526,0.11195962956678264,rACC
dACC,0.023089751223908883,59.83795002335519,2317259.9238048643,0.12386181635175321,dACC
vlPFC,0.0181928768897619,53.08981544948507,2494266.096889045,0.11027396640132715,vlPFC
vmPFC,0.01978960817173836,57.42192532619637,2498213.470246161,0.11891514705006959,vmPFC
OFCant,0.016913418372919375,53.34444628366284,2529675.163439891,0.11155559830543994,OFCant
OFClat,0.012674445485254204,44.14099054926492,2377536.913186246,0.09211811625128993,OFClat
OFCmed,0.015006770407478331,47.946693435132026,2319747.699040508,0.0996565921816157,OFCmed
OFCpost,0.016226263307961286,47.52263368445629,2445537.923817011,0.09848624983752771,OFCpost
dmPFC,0.01363834347190196,46.4648975125775,2797996.8017579005,0.09635628798248301,dmPFC
dlPFC,0.013238322733163721,46.0167982059272,2984998.1652020398,0.09561782718313304,dlPFC
MFG,0.014682214916787006,48.21107040553006,2904896.215888332,0.10047483144178514,MFG
IFG,0.016589521164098953,50.23226284236583,2655496.0963990423,0.10414858024531685,IFG
