,Divisive,ROI
rACC,66.9908539887,rACC
dACC,74.646610048,dACC
vlPFC,64.7792811032,vlPFC
vmPFC,68.957187251,vmPFC
OFCant,62.9098036332,OFCant
OFClat,52.7849342132,OFClat
OFCmed,59.9881685097,OFCmed
OFCpost,61.3458656758,OFCpost
dmPFC,57.6641329606,dmPFC
dlPFC,56.7527172292,dlPFC
MFG,58.9127053562,MFG
IFG,61.2632214239,IFG
