,Divisive,RW Update,MC,ROI
rACC,0.142121722772,0.136475748391,0.126814993126,rACC
dACC,0.158201921253,0.15480254561,0.140586856677,dACC
vlPFC,0.137913257848,0.130854064183,0.124769878299,vlPFC
vmPFC,0.145816337452,0.13497858932,0.132257456696,vmPFC
OFCant,0.13426853306,0.121181833338,0.122612454019,OFCant
OFClat,0.113039627277,0.101059502297,0.102041758939,OFClat
OFCmed,0.127894636072,0.120692457826,0.113473447803,OFCmed
OFCpost,0.130959006969,0.127137255641,0.114532861816,OFCpost
dmPFC,0.122527650182,0.111697112124,0.109006816118,dmPFC
dlPFC,0.120757097696,0.109976679122,0.10754289246,dlPFC
MFG,0.125737437885,0.115563189659,0.112923818702,MFG
IFG,0.130374927788,0.125523665511,0.118771526634,IFG
