,Relative,Absolute
rACC,0.115722390094,0.104220010815
dACC,0.12168359785,0.109407987242
vlPFC,0.109292582682,0.0999302703695
vmPFC,0.115807287513,0.103814158873
OFCant,0.103087937661,0.0928935649867
OFClat,0.0913127184073,0.0837744630018
OFCmed,0.104759328149,0.0951098708337
OFCpost,0.106750513581,0.095896327198
dmPFC,0.0980803621648,0.0868284194367
dlPFC,0.096492599748,0.0866080948067
MFG,0.100193963765,0.0911003270923
IFG,0.10840816446,0.0992529039125
V1,0.0843602536858,0.071115686216
Fusiform,0.0992867635463,0.0884361469693
