Subject,Mask,Model,a2,b1,b2,sigma,w1,w_v,w_avg,a2_s,b1_s,b2_s,sigma_s,w1_s,w_v_s,w_avg_s,b1+b2,b1+b2_s,Adjusted R2,bic,bic_rel
101,vmPFC,Null,42.467769183389635,0.0,0.0,1.0,0.0,0.0,0.0,0.6072598757562985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016706169866465448,2925699.5346629,0.0
101,OFCmed,Null,42.38418852441711,0.0,0.0,1.0,0.0,0.0,0.0,0.5905766035123434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01757890312977184,2909671.4565725788,0.0
101,dmPFC,Null,55.223143120273534,0.0,0.0,1.0,0.0,0.0,0.0,0.8083296372829909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015955301880898887,3090260.0383830597,0.0
101,vmPFC,Absolute,42.58444628366152,2.851403162701267,0.0,1.0,0.0,0.0,0.0,0.6067688451388471,0.12899707763671303,0.0,0.0,0.0,0.0,0.0,2.851403162701267,0.12899707763671303,0.018370005531391342,2925223.907391548,-475.62727135187015
101,OFCmed,Absolute,42.485402882370664,2.4735189367222787,0.0,1.0,0.0,0.0,0.0,0.5902014701609868,0.1254749078772785,0.0,0.0,0.0,0.0,0.0,2.4735189367222787,0.1254749078772785,0.0189008240695967,2909295.6705744793,-375.78599809948355
101,dmPFC,Absolute,55.39215071404641,4.1302778775185205,0.0,1.0,0.0,0.0,0.0,0.8075496896906988,0.17168243047176315,0.0,0.0,0.0,0.0,0.0,4.1302778775185205,0.17168243047176315,0.017927697970257173,3089694.4102794556,-565.6281036040746
101,vmPFC,Relative,-40.99934115856986,38.39061663072023,-43.84163007944838,1.0,0.0,0.0,0.0,0.7673571988883194,0.22885005086622373,0.26945650087902795,0.0,0.0,0.0,0.0,-5.451013448728148,0.11544226650601981,0.10615994092310388,2898283.429557818,-27416.10510508204
101,OFCmed,Relative,-38.01653562275249,37.247442891732135,-42.16810781861415,1.0,0.0,0.0,0.0,0.7466563252671159,0.22267639926405045,0.2621874155006122,0.0,0.0,0.0,0.0,-4.920664926882019,0.11232799875172172,0.10604176129886156,2882548.8316749623,-27122.62489761645
101,dmPFC,Relative,-58.23708622689906,52.16732319662577,-59.600083532283016,1.0,0.0,0.0,0.0,1.019265709549914,0.30397709148521007,0.35791385279645127,0.0,0.0,0.0,0.0,-7.4327603356572425,0.1533397273598704,0.10927595115582878,3061619.7058174764,-28640.33256558329
102,vmPFC,Null,46.038126432425116,0.0,0.0,1.0,0.0,0.0,0.0,0.4539920756575976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03467569860277786,2745308.0063250414,0.0
