6.8756	2.5543	1	5
18.308	2.0183	0	5
27.692	1.1063	1	1
38.051	1.7719	1	5
47.276	1.4216	0	2
56.583	1.5957	0	4
64.818	2.1738	1	5
75.023	1.2876	0	2
86.204	1.4638	0	2
96.331	2.0725	1	3
105.48	1.174	1	1
117.07	1.8359	0	5
124.74	1.6373	0	4
136.09	1.5997	1	1
144.16	3.0862	1	5
152.32	1.3269	0	1
164.74	1.2691	1	5
175.85	1.7451	0	5
187.68	1.5151	0	4
197.32	2.3014	0	5
208.1	1.5808	0	5
220.11	2.2393	1	3
229.57	1.4639	0	4
242.08	2.0057	0	4
254.33	1.6774	0	5
266.01	1.5754	1	2
275.56	1.6853	0	5
284.03	1.5725	0	3
294.73	1.4203	1	5
305.77	2.0186	1	5
314.73	1.6051	1	1
325.18	2.3493	0	2
335.72	3.1657	1	5
343.64	2.0925	1	3
352.45	1.4834	0	2
361.09	1.8713	0	3
368.92	1.5706	0	4
380.19	1.4348	1	1
387.93	1.0918	1	1
397.72	1.4776	1	3
406.3	2.9768	0	5
414.69	2.061	0	4
423.43	1.3832	1	3
434.29	1.7093	0	2
446.38	1.7268	0	4
458.15	1.5191	0	4
468.42	2.1089	1	3
480.61	1.2952	0	2
489.49	1.7012	1	2
501.42	1.2341	1	5
512.36	1.5981	1	1
523.87	2.539	0	5
533.59	1.4089	0	2
543.47	1.8033	1	1
551.04	1.5905	0	4
558.55	1.544	1	5
569.17	1.5918	0	4
577.15	1.555	0	1
587.11	1.4075	1	3
595.43	1.3941	0	5
601.9	1.5527	0	4
607.55	1.5363	1	3
