,MC,MC by day,RW Update,RW Update by day,ROI
rACC,66.4826819567,65.8605683491,89.0804128685,87.1736554475,rACC
dACC,73.4666700069,73.2465490205,92.5136643825,90.7226958781,dACC
vlPFC,72.0106198394,71.4314082192,89.1988095666,87.6824856527,vlPFC
vmPFC,66.4653614735,64.4779658044,85.9608450569,85.8435747855,vmPFC
OFCant,73.8319784394,72.5388738053,82.8842363134,82.3195271276,OFCant
OFClat,71.6937916948,71.4680883582,84.3348181169,83.1418361677,OFClat
OFCmed,75.4013018189,73.1884835783,88.7542853439,87.064793991,OFCmed
OFCpost,79.6938240461,78.1927139836,98.9149453058,96.6113049484,OFCpost
dmPFC,60.2377680198,60.6623009479,79.9848050296,80.7090520743,dmPFC
dlPFC,66.1411234369,65.4738110696,80.6863783918,81.804821379,dlPFC
MFG,63.289659086,63.287238897,78.0267795689,78.8227481568,MFG
IFG,67.9107738377,67.893797428,82.1371276528,82.1977106647,IFG
