,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0316852438279,78.9002184878,3303270.74933,rACC
dACC,0.0376475731793,85.4900500424,3206282.03512,dACC
vlPFC,0.0317945094436,79.9395992776,3503627.17244,vlPFC
vmPFC,0.0297356908389,78.7617515526,3425262.90175,vmPFC
OFCant,0.0303691552193,83.6721438471,3438938.74239,OFCant
OFClat,0.0295857484867,80.7077249068,3362146.08907,OFClat
OFCmed,0.0338097942622,84.9491980674,3202578.69085,OFCmed
OFCpost,0.0398031067258,91.329221184,3388647.98167,OFCpost
dmPFC,0.0264327855548,71.8219016308,3869982.16755,dmPFC
dlPFC,0.0293291359944,75.9449798382,4074965.73088,dlPFC
MFG,0.0271918242602,71.1353828025,4035047.29945,MFG
IFG,0.0295675877924,73.8946972495,3709649.35296,IFG
