,Subj,Mask,S2S,S2B,B2B,B2S
0,113,rACC,-0.0643634062083,0.00583060625448,0.0428669897886,0.0376024706873
1,113,dACC,-0.0418545355391,-0.0565035621318,0.0297005964206,-0.11159487547
2,113,vlPFC,0.071126175408,-0.00934712580669,0.107096689011,-0.0263479985574
3,113,vmPFC,-0.0926537466121,0.0688164185901,-0.0318727555575,0.103035280347
4,113,OFCant,0.120321244507,0.0247581346746,-0.0371872689005,0.047405304824
5,113,OFClat,0.0311841605581,0.0153697858415,0.0554030429413,-0.0591726132629
6,113,OFCmed,-0.0935563784428,0.120749433735,-0.0424470407248,0.227955073395
7,113,OFCpost,-0.0724928149,-0.0190180227799,0.000424900232465,0.0794165032339
8,113,dmPFC,-0.0763458538678,0.0521500306395,0.0599066513901,0.119558572792
9,113,dlPFC,-0.0482543066044,0.0152700013625,0.0519077004905,0.0321374696927
10,113,MFG,0.0788663122283,0.037116397868,0.0782055950617,0.142075862785
11,113,IFG,-0.0384476660353,-0.0271436257902,0.139849748917,0.0459974486967
