,Relative,Absolute
rACC,0.103277332188,0.081549742317
dACC,0.113449126654,0.0925372476041
vlPFC,0.103583961815,0.0870081896967
vmPFC,0.106408027595,0.0847240322486
OFCant,0.105842025229,0.0931809416197
OFClat,0.10032179015,0.088187338165
OFCmed,0.113603621836,0.100036362662
OFCpost,0.118370351325,0.100162976528
dmPFC,0.0891809389119,0.072674226085
dlPFC,0.0946590163541,0.0802445516876
MFG,0.0922847718765,0.078255397236
IFG,0.0977561767575,0.0823386183949
V1,0.114355976345,0.101347340256
Fusiform,0.118589575669,0.104146931847
