,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0371008401622,88.6026021361,3301685.01212,0.158977089515,0.0358929081422,86.5296189167,3302051.02957,0.156790434494,rACC
dACC,0.0410424916688,91.2981868625,3205282.84863,0.163489872687,0.040585113062,90.5407526687,3205429.22174,0.163644496407,dACC
vlPFC,0.0358945117391,87.2919219051,3502427.33639,0.155643256356,0.0360103242959,87.4973677299,3502404.92288,0.157113975877,vlPFC
vmPFC,0.0316493507454,82.3068116584,3424704.70473,0.147884735656,0.0332645439994,85.2005717205,3424244.2608,0.153646550725,vmPFC
OFCant,0.0287019094486,80.6454923694,3439424.48284,0.144569863059,0.0296264476667,82.342541288,3439166.7804,0.148164245207,OFCant
OFClat,0.030810179905,82.9406917856,3361789.11587,0.147923050262,0.0308770612392,83.0672591756,3361781.15641,0.149015095059,OFClat
OFCmed,0.0339222339519,85.1475943776,3202545.7855,0.153142281474,0.0350071416361,87.0468695364,3202239.64387,0.157331622142,OFCmed
OFCpost,0.0426921434059,96.0179777175,3387795.99831,0.171081019285,0.0428449352146,96.2657236428,3387762.42036,0.172691035422,OFCpost
dmPFC,0.0305486240623,79.8788967077,3868784.33476,0.143917269239,0.030689270385,80.1474332526,3868754.8649,0.145448989515,dmPFC
dlPFC,0.0314215820771,79.9430777314,4074355.58317,0.143857419068,0.032378138922,81.7174215765,4074087.76867,0.14793968141,dlPFC
MFG,0.0302767566756,77.3032020224,4034149.26676,0.139223602893,0.0310300291133,78.7480016091,4033941.10529,0.142821267039,MFG
IFG,0.032757112453,80.0671992267,3708718.5462,0.144019404348,0.0338588488862,82.1066656204,3708407.86263,0.148660385907,IFG
