,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.081549742317,0.103277332188,0.0891662297902,0.0863324091919,0.138290492341,0.136649198702,rACC
dACC,0.0925372476041,0.113449126654,0.0977279979786,0.0949541460439,0.15172806855,0.149892109504,dACC
vlPFC,0.0870081896967,0.103583961815,0.0890389031266,0.0872374565649,0.137564091994,0.13582028888,vlPFC
vmPFC,0.0847240322486,0.106408027595,0.0935724659734,0.0906024479535,0.138609143128,0.137213987261,vmPFC
OFCant,0.0931809416197,0.105842025229,0.0916486269551,0.0902498196405,0.137103853111,0.135700963694,OFCant
OFClat,0.088187338165,0.10032179015,0.0864136241118,0.0851942978521,0.13074914904,0.129176173827,OFClat
OFCmed,0.100036362662,0.113603621836,0.0984996528125,0.0967522025424,0.147691888308,0.146242375104,OFCmed
OFCpost,0.100162976528,0.118370351325,0.103737653772,0.101372899515,0.153369915554,0.151582264926,OFCpost
dmPFC,0.072674226085,0.0891809389119,0.0761379670323,0.0733246192606,0.121383433302,0.119954487464,dmPFC
dlPFC,0.0802445516876,0.0946590163541,0.0805443426492,0.0778744194007,0.12901712211,0.127527859994,dlPFC
MFG,0.078255397236,0.0922847718765,0.0776685988882,0.0754978054222,0.126959209236,0.12556009681,MFG
IFG,0.0823386183949,0.0977561767575,0.0828842790163,0.0813794066945,0.131673952777,0.130178350328,IFG
