,Divisive,ROI
rACC,78.9002184878,rACC
dACC,85.4900500424,dACC
vlPFC,79.9395992776,vlPFC
vmPFC,78.7617515526,vmPFC
OFCant,83.6721438471,OFCant
OFClat,80.7077249068,OFClat
OFCmed,84.9491980674,OFCmed
OFCpost,91.329221184,OFCpost
dmPFC,71.8219016308,dmPFC
dlPFC,75.9449798382,dlPFC
MFG,71.1353828025,MFG
IFG,73.8946972495,IFG
