,Divide Mean,Running Average,ROI
rACC,0.144945061295,0.0777663182174,rACC
dACC,0.15612051101,0.0878764468491,dACC
vlPFC,0.14543930168,0.0873062261847,vlPFC
vmPFC,0.143761736107,0.0797264803277,vmPFC
OFCant,0.151056235328,0.0978227067993,OFCant
OFClat,0.145849904147,0.09183385205,OFClat
OFCmed,0.154605623455,0.0981486986489,OFCmed
OFCpost,0.165467487924,0.0993592807988,OFCpost
dmPFC,0.132326424708,0.0702585659052,dmPFC
dlPFC,0.139086619082,0.0798348561184,dlPFC
MFG,0.130866407298,0.0750567901894,MFG
IFG,0.135778106386,0.0797297284211,IFG
