,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0255975605748,66.4826819567,3305042.72626,0.0253180996313,65.8605683491,3305123.80457,0.0373786805099,89.0804128685,3301614.96978,0.0362643993251,87.1736554475,3301942.06354,rACC
dACC,0.031264194569,73.4666700069,3208151.27159,0.0311556030973,73.2465490205,3208182.96363,0.0417746175652,92.5136643825,3205078.45922,0.0406938592068,90.7226958781,3205397.17262,dACC
vlPFC,0.0277430028683,72.0106198394,3504807.83586,0.0274623622778,71.4314082192,3504889.436,0.0370073065021,89.1988095666,3502112.35686,0.0361179650339,87.6824856527,3502373.35011,vlPFC
vmPFC,0.0237016867906,66.4653614735,3427015.78417,0.022816093695,64.4779658044,3427272.1375,0.0336981569225,85.9608450569,3424117.41498,0.0336310473969,85.8435747855,3424137.05041,vmPFC
OFCant,0.0251544394956,73.8319784394,3440455.24506,0.0245137622371,72.5388738053,3440641.00198,0.0299263442238,82.8842363134,3439079.38595,0.0296137458796,82.3195271276,3439170.48129,OFCant
OFClat,0.0249549076192,71.6937916948,3363492.11273,0.0248454520435,71.4680883582,3363523.85025,0.0315865434727,84.3348181169,3361574.09181,0.03091853483,83.1418361677,3361769.05638,OFClat
OFCmed,0.0286809708952,75.4013018189,3204075.57832,0.027572385676,73.1884835783,3204398.08866,0.0360038637261,88.7542853439,3201947.45844,0.0350175152723,87.064793991,3202236.60443,OFCmed
OFCpost,0.0331935561691,79.6938240461,3390587.55116,0.0324002713156,78.1927139836,3390819.44846,0.0445368794449,98.9149453058,3387262.18769,0.0430633745971,96.6113049484,3387697.88728,OFCpost
dmPFC,0.0212318084533,60.2377680198,3871488.58631,0.0214072066725,60.6623009479,3871437.91427,0.0306019644637,79.9848050296,3868780.32999,0.0309920136285,80.7090520743,3868666.54401,dmPFC
dlPFC,0.0246196254084,66.1411234369,4076334.20482,0.0243211583048,65.4738110696,4076420.70962,0.0318179746326,80.6863783918,4074251.40068,0.0324259201022,81.804821379,4074073.80672,dlPFC
MFG,0.023613709452,63.289659086,4036085.33868,0.0236126663188,63.287238897,4036085.64075,0.0306506910034,78.0267795689,4034051.77158,0.0310695257698,78.8227481568,4033929.58023,MFG
IFG,0.0267018209474,67.9107738377,3710483.07115,0.026694011754,67.893797428,3710485.33967,0.0338755471223,82.1371276528,3708402.97591,0.033908773333,82.1977106647,3708393.25203,IFG
