,value,choice,choice_prob
rACC,0.103277332188,0.0138821180331,0.0496410149021
dACC,0.113449126654,0.0140442712723,0.0535879532591
vlPFC,0.103583961815,0.0106425758532,0.0486210763878
vmPFC,0.106408027595,0.0127640268289,0.0507967840479
OFCant,0.105842025229,0.0118305069469,0.0497003778905
OFClat,0.10032179015,0.00975869005375,0.0475966299957
OFCmed,0.113603621836,0.0144481813367,0.0544058038108
OFCpost,0.118370351325,0.0134863445217,0.0559343077623
dmPFC,0.0891809389119,0.0120222515357,0.0422844114162
dlPFC,0.0946590163541,0.0111980509427,0.04581951321
MFG,0.0922847718765,0.0107367594531,0.044964460376
IFG,0.0977561767575,0.0109560205797,0.0469642342767
