,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.03168524382785809,78.90021848777184,3303270.7493341505,0.14494506129457962,rACC
dACC,0.037647573179309,85.49005004244798,3206282.035115251,0.15612051100962404,dACC
vlPFC,0.03179450944355722,79.93959927755593,3503627.1724431617,0.1454393016798781,vlPFC
vmPFC,0.029735690838919693,78.76175155263,3425262.901750093,0.14376173610694012,vmPFC
OFCant,0.03036915521927952,83.67214384710651,3438938.7423914424,0.15105623532828824,OFCant
OFClat,0.029585748486683716,80.70772490675762,3362146.089065708,0.14584990414720364,OFClat
OFCmed,0.03380979426224506,84.94919806741663,3202578.690846518,0.15460562345487164,OFCmed
OFCpost,0.039803106725754156,91.3292211839948,3388647.981672437,0.16546748792358806,OFCpost
dmPFC,0.026432785554802996,71.82190163076251,3869982.167551378,0.13232642470834938,dmPFC
dlPFC,0.029329135994373368,75.94497983820203,4074965.7308795084,0.13908661908238903,dlPFC
MFG,0.027191824260172637,71.13538280253552,4035047.2994494047,0.13086640729765456,MFG
IFG,0.029567587792444172,73.89469724950078,3709649.352963029,0.1357781063864934,IFG
