,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0332866019835,81.8898680356,3302825.88658,rACC
dACC,0.0373028349759,84.8925018561,3206406.40515,dACC
vlPFC,0.0333019346144,82.7238405358,3503209.7315,vlPFC
vmPFC,0.0311701349669,81.4448162673,3424867.69553,vmPFC
OFCant,0.0272870813658,78.0066575843,3439859.13412,OFCant
OFClat,0.0284723923059,78.6403723583,3362493.3929,OFClat
OFCmed,0.0322551230959,82.1742883504,3203056.37597,OFCmed
OFCpost,0.0397922404077,91.3224598501,3388674.28583,OFCpost
dmPFC,0.0285440844845,76.0664897285,3869391.45449,dmPFC
dlPFC,0.0297566237783,76.7905895368,4074864.28887,dlPFC
MFG,0.0285659173378,73.9551540047,4034670.75376,MFG
IFG,0.0311787831546,77.0827320654,3709202.64139,IFG
