,Divisive,RW Update,MC,ROI
rACC,0.144945061295,0.162765719727,0.119620925307,rACC
dACC,0.15612051101,0.166829603712,0.131013762778,dACC
vlPFC,0.14543930168,0.160040011559,0.127530681434,vlPFC
vmPFC,0.143761736107,0.156741965252,0.118999500963,vmPFC
OFCant,0.151056235328,0.148656470381,0.130811195651,OFCant
OFClat,0.145849904147,0.151120354643,0.126720504319,OFClat
OFCmed,0.154605623455,0.159681921627,0.13425622856,OFCmed
OFCpost,0.165467487924,0.177790159055,0.14124988576,OFCpost
dmPFC,0.132326424708,0.146701966947,0.108685094954,dmPFC
dlPFC,0.139086619082,0.145977711603,0.118193110097,dlPFC
MFG,0.130866407298,0.141293851642,0.113155034461,MFG
IFG,0.135778106386,0.14841433599,0.120929832591,IFG
