,Divisive,RW Update,ROI
rACC,0.144945061295,0.162765719727,rACC
dACC,0.15612051101,0.166829603712,dACC
vlPFC,0.14543930168,0.160040011559,vlPFC
vmPFC,0.143761736107,0.156741965252,vmPFC
OFCant,0.151056235328,0.148656470381,OFCant
OFClat,0.145849904147,0.151120354643,OFClat
OFCmed,0.154605623455,0.159681921627,OFCmed
OFCpost,0.165467487924,0.177790159055,OFCpost
dmPFC,0.132326424708,0.146701966947,dmPFC
dlPFC,0.139086619082,0.145977711603,dlPFC
MFG,0.130866407298,0.141293851642,MFG
IFG,0.135778106386,0.14841433599,IFG
