,Relative,Absolute,ROI
rACC,0.11353191490510262,0.12071600386027079,rACC
dACC,0.11312511661612903,0.11929763621277009,dACC
vlPFC,0.11659656509076521,0.12172377506058962,vlPFC
vmPFC,0.11159932523448805,0.11708973557955271,vmPFC
OFCant,0.11525961748711472,0.1209037736844591,OFCant
OFClat,0.1142728127338535,0.11903383693614612,OFClat
OFCmed,0.11555072406590165,0.1213315833266052,OFCmed
OFCpost,0.11280663813933554,0.11794713998425453,OFCpost
dmPFC,0.11663390725287695,0.12103151141567492,dmPFC
dlPFC,0.11468716427291746,0.11951213034425472,dlPFC
MFG,0.11334717812317632,0.11931903057453176,MFG
IFG,0.11274308764402052,0.11834114437497509,IFG
V1,0.11172644842476959,0.11742287613436261,V1
Fusiform,0.11308661543353968,0.12026192993070475,Fusiform
