,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.05577208026776803,79.56845804920995,3551892.7607721826,0.13522640842365458,0.05672356373380827,81.40304607468173,3551603.9711853582,0.1385552860241678,0.05886228883665945,85.39579418615794,3550953.771123428,0.14756483692711073,rACC
dACC,0.05524216544040217,79.38211667251478,3528662.096456833,0.13485355708264893,0.05614744455565879,81.13135193128339,3528387.491501948,0.13803494966846014,0.05831671660924709,85.18979439972543,3527728.397088361,0.14714568679162843,dACC
vlPFC,0.05666826246473455,80.6444135866707,3656581.8161534546,0.1369156203303431,0.05752702121638065,82.28270002995785,3656320.9350049747,0.13990428932995477,0.05978213347870687,86.45058174178587,3655634.7241676496,0.14921705457051537,vlPFC
vmPFC,0.055254772191935975,78.32191707968697,3603507.0088927113,0.1329829134410672,0.056049333009783875,79.87861074664065,3603265.9998468393,0.13583892522585586,0.0583521754911559,84.24187562653485,3602566.3456629636,0.14549383455492862,vmPFC
OFCant,0.056090544515521756,79.28443793913364,3527070.475170682,0.13445971254213707,0.05693490556680236,80.92038519758856,3526814.126902747,0.13744827838621257,0.059173487062805896,85.11893628372262,3526133.380411012,0.1468247184478344,OFCant
OFClat,0.053624570135079264,78.06836036703383,3307550.925070663,0.13246607435321042,0.05449150141694237,79.76772784197658,3307288.4074702775,0.13556170547563595,0.056608866969965366,83.78578915010885,3306646.2295747604,0.14458380934377593,OFClat
OFCmed,0.05610659954958874,80.30498219247914,3564400.706559022,0.13639913409043763,0.05701308537546701,82.03925892214315,3564125.4834435713,0.13955271063329117,0.0592509708774519,86.18491150966801,3563444.8923654594,0.14881810166869563,OFCmed
OFCpost,0.05523221626658481,78.22061665542728,3633217.93988528,0.13294791882319482,0.05602614046277543,79.77792883648537,3632977.129774767,0.1358066763407384,0.05829296512979043,84.07934243696856,3632288.448701743,0.1453573350904317,OFCpost
dmPFC,0.0557395601039532,81.13374061179572,3880706.5343317706,0.1376917323938949,0.05657314197118024,82.71388995631288,3880453.554183441,0.1405745829626277,0.058859822504408243,86.9147087018587,3879758.4301140076,0.14990710491293807,dmPFC
dlPFC,0.05569547822937093,80.27547565771475,4017893.9379767785,0.13630552795794698,0.056511132026977995,81.83734473828015,4017646.4126527086,0.13916186170066858,0.05877057482883696,86.02923410440542,4016959.6236647787,0.14849628056417466,dlPFC
MFG,0.056221199725996374,79.52362111054696,3959709.277617799,0.13479443580796766,0.05710659015994357,81.23370013107575,3959440.4297391595,0.1379086513566513,0.05929133280343357,85.3198434506903,3958775.9533879254,0.14709130434068463,MFG
IFG,0.05592994171506638,79.17756128697053,3680394.1640524985,0.13410325654610714,0.05670100877161077,80.67434208548868,3680160.1167969042,0.13685175306744726,0.058985853783237174,84.96848071791636,3679465.457117024,0.1463895778100142,IFG
