,MC_adjr2,MC_tval,MC_bic,MC_corr,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0810166735056359,119.89848533137422,3544153.4010832324,0.22294199643318685,0.0857497859367935,126.22587646851952,3542674.298823101,0.23542988051603836,0.08332553029146272,123.02182087467457,3543444.400444205,0.22993824693031045,0.0851348332659988,125.42240452989482,3542878.469650016,0.23346995603017023,rACC
dACC,0.08038776422974703,119.61689364073732,3520957.9869334544,0.22230937446513782,0.08557221768221424,126.54373319890887,3519338.5518707284,0.2357659683382187,0.08282498863282683,122.91636130766183,3520209.392003376,0.22958380936040895,0.08466170912003457,125.3535632832836,3519635.1905478667,0.23317703465411288,dACC
vlPFC,0.08195942856781113,120.73065219109425,3648820.4499361883,0.22424063816193682,0.08817817043923726,128.95287407920634,3646873.503614101,0.23980862705776715,0.08542592830003826,125.37094876592988,3647748.3659272594,0.23371803060630675,0.08719214178173329,127.68133509761131,3647194.656122436,0.23708438418063074,vlPFC
vmPFC,0.08111777255971442,119.87997576818672,3595579.2466357485,0.2228404455408968,0.08603482521356687,126.4497362860155,3594042.3388816616,0.2357267247973372,0.08338985989924996,122.95489138089339,3594881.6573933586,0.22976049021483608,0.08517794587923866,125.32884016836317,3594322.3302430287,0.2332478892039912,vmPFC
OFCant,0.08138144086594135,119.77995489727147,3519314.0228442554,0.22259007973265252,0.08671251756557308,126.89756779963542,3517646.8479136447,0.23638119852681602,0.08414470439634958,123.51437971568573,3518462.6506640865,0.23060016290210025,0.08591613662424058,125.85890521888635,3517908.0808384614,0.2340320744973484,OFCant
OFClat,0.07806079170891844,117.68778483970551,3300080.6884429003,0.2187505892230506,0.08335126801472681,124.8340569850479,3298432.223277047,0.232573238743431,0.08069978127926658,121.29917205987945,3299271.153971864,0.22653063108313085,0.08236498365840828,123.5312873001377,3298751.826249644,0.2297980155792768,OFClat
OFCmed,0.08195666407971314,121.23546562869717,3556469.7045230917,0.22503178211865607,0.08700156043538854,127.91405720957513,3554891.2818756443,0.23807173228467515,0.08469574934688318,124.90097862458538,3555625.3574806275,0.23290252994517865,0.08637620690413916,127.10548026751765,3555098.977625305,0.23610259524129298,OFCmed
OFCpost,0.08059573450724478,119.12720678803916,3625446.027466838,0.22174881583736694,0.08629285177761825,126.75080053187456,3623665.5523639335,0.2363605485660703,0.08357162966899923,123.16075030837995,3624528.9404522628,0.23024093193301046,0.0853040699319535,125.45842058552957,3623986.928602822,0.23360562251432654,OFCpost
dmPFC,0.08166968729246415,121.89572714177329,3872753.695593552,0.22577119313025146,0.08618119082785969,127.85172225446772,3871343.012146793,0.23760801805980156,0.08377303883708709,124.70484767784508,3872108.4368981197,0.2322203286795675,0.08558700132817187,127.08410163297111,3871540.769809788,0.23570546373192588,dmPFC
dlPFC,0.08082903872885705,120.22787838004326,4010189.820024693,0.22323056891944876,0.08595622891694632,127.05335508482766,4008587.5510242037,0.23651624373527633,0.08364794783888718,124.02181881849945,4009321.5734782983,0.2313120114365665,0.08530761174023394,126.21033187690301,4008802.307832321,0.23449043792678265,dlPFC
MFG,0.08136768969475439,119.75026310567057,3951996.7651008754,0.22246724516965538,0.0868937611300431,127.12363696644222,3950268.4515453526,0.23667633925821474,0.08447877874809817,123.94866611433825,3951036.6008812273,0.23123690923203785,0.08601773442497407,125.98191252333869,3950554.6961588804,0.2341580428526381,MFG
IFG,0.08089939166740068,119.26121143605654,3672739.2514461544,0.22153550194438373,0.08724733922654182,127.72726422633998,3670754.013379551,0.23752769900937618,0.08449393714784514,124.115972349063,3671628.3595420932,0.23137939779626066,0.08610312423248889,126.23889461118837,3671124.4350263523,0.23444477282942477,IFG
