,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0250323981108,68.6285999481,3235637.47148,rACC
dACC,0.0284074022544,73.4209102099,3168700.52544,dACC
vlPFC,0.014878556154,49.7712054134,3386907.40882,vlPFC
vmPFC,0.0191953684594,59.7803955034,3346525.89803,vmPFC
OFCant,0.0181086901554,57.6709437055,3333659.17739,OFCant
OFClat,0.0112841678429,43.8739299963,3206292.6939,OFClat
OFCmed,0.024818174824,68.0971054235,3096001.76521,OFCmed
OFCpost,0.0218388043335,63.2979672652,3292202.2699,OFCpost
dmPFC,0.0148610371303,50.6164925415,3764184.19108,dmPFC
dlPFC,0.0159974618547,52.7433616356,3964258.92643,dlPFC
MFG,0.0141207046742,49.709042116,3914316.8018,MFG
IFG,0.0162775469882,54.2489066758,3646923.03577,IFG
