,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.009270542829976858,9.777125741515556,3240188.271111352,0.023584994376619588,rACC
dACC,0.01040326682811843,10.08849539036664,3173914.0542094572,0.023744615081197806,dACC
vlPFC,0.006359288213114489,2.946224819917709,3389340.126642333,0.011052093733736144,vlPFC
vmPFC,0.007157708671328922,8.394214388414968,3349981.873976102,0.02071987835709423,vmPFC
OFCant,0.006840699879700263,7.101094238194963,3336890.3855771804,0.017448621045443525,OFCant
OFClat,0.004625458709724417,1.4660331377460105,3208183.911148868,0.007037034988930615,OFClat
OFCmed,0.009263838619333664,9.209776252837282,3100491.8352317954,0.022188426152191593,OFCmed
OFCpost,0.008279783172000399,7.107791049907081,3296105.450616349,0.018555716171186096,OFCpost
dmPFC,0.006137040465535648,5.838109812969903,3766675.621886446,0.016707907083215387,dmPFC
dlPFC,0.006453341622529862,3.669677226414289,3966988.7691579913,0.01231741485748703,dlPFC
MFG,0.005624047318747993,3.303653920235319,3916741.154831398,0.011491677771721763,MFG
IFG,0.006326558898731238,7.441154077413632,3649770.462438074,0.018646084645994997,IFG
