,Divisive,RW Update,MC,ROI
rACC,0.13414237882,0.195630328809,0.0960604190315,rACC
dACC,0.14371550343,0.203208789583,0.0998058277165,dACC
vlPFC,0.0989572359178,0.153350927379,0.0708086349547,vlPFC
vmPFC,0.117731984525,0.161517475821,0.0805555984266,vmPFC
OFCant,0.112443108968,0.161887258983,0.079821568308,OFCant
OFClat,0.0859931868127,0.134907134366,0.0632425550074,OFClat
OFCmed,0.133110399433,0.185723867653,0.0932599626747,OFCmed
OFCpost,0.123919955363,0.178784595203,0.0872278798929,OFCpost
dmPFC,0.100860458132,0.142200973072,0.0698626621918,dmPFC
dlPFC,0.105505605499,0.151985027754,0.0690118943014,dlPFC
MFG,0.0990108269493,0.146026168967,0.0670786143761,MFG
IFG,0.10631592367,0.154158427741,0.0768659720856,IFG
