,MC,MC by day,RW Update,RW Update by day,ROI
rACC,51.255740172,58.8022227986,105.049978539,106.016660286,rACC
dACC,53.6815254336,60.6376958715,109.529420239,110.869618825,dACC
vlPFC,36.856952136,43.9897813723,80.9991562466,81.7078708783,vlPFC
vmPFC,42.4403066407,49.4152384122,85.5142813228,88.735002318,vmPFC
OFCant,42.6946253304,49.3063500351,86.2875557804,88.1714124114,OFCant
OFClat,33.4599281406,40.0176902692,71.4807272509,73.2014412416,OFClat
OFCmed,49.8477785361,56.738493313,99.2900239587,102.421406747,OFCmed
OFCpost,46.3013659936,53.3888645311,95.3754320752,97.4335754148,OFCpost
dmPFC,35.8911960819,42.3089672269,74.2647857429,76.184990647,dmPFC
dlPFC,35.7686759415,42.0217033665,80.1616831928,80.778775566,dlPFC
MFG,34.8159619067,40.9509427237,77.0274880711,77.7478028001,MFG
IFG,40.577442395,46.8639863828,81.6059105791,83.0139154429,IFG
