,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.040482761659,96.8405666782,3231081.60214,0.177741698602,0.0427607427693,100.399962822,3230415.25309,0.181583720768,rACC
dACC,0.0438783202971,100.462265672,3164122.5717,0.183682790483,0.0460116814325,103.701766973,3163497.05138,0.186871326727,dACC
vlPFC,0.025470331207,74.858749906,3383824.34246,0.139731091392,0.0268294873618,77.5306351332,3383437.85491,0.142647202777,vlPFC
vmPFC,0.0300423136967,82.4805179828,3343354.16797,0.152857319307,0.0304404377371,83.2103592141,3343248.64063,0.152460050904,vmPFC
OFCant,0.0297560906978,82.3989766311,3330255.77797,0.151577701245,0.0303674963764,83.5148588897,3330087.55779,0.151761764684,OFCant
OFClat,0.020392879098,67.7843167025,3203653.00752,0.125525416269,0.0214068700588,69.9714871674,3203369.19894,0.127788186484,OFClat
OFCmed,0.0389713782588,94.3700368874,3091832.12503,0.173326744456,0.0401875842342,96.3296812351,3091482.522,0.174626114836,OFCmed
OFCpost,0.0355943354173,90.1757452217,3288163.05184,0.166113560564,0.0369102986136,92.3769664188,3287785.17407,0.167914427749,OFCpost
dmPFC,0.0239675946378,72.4355577371,3761535.50515,0.136186386504,0.0238715543548,72.2450791303,3761575.1286,0.134506257274,dmPFC
dlPFC,0.0253121006957,74.3907282166,3961546.28653,0.139017665697,0.0254877509727,74.7489355478,3961506.44535,0.138149455122,dlPFC
MFG,0.0229977608742,71.3076478265,3911737.1179,0.133260079499,0.0238636793713,73.0979364864,3911495.78826,0.13482456405,MFG
IFG,0.0264903210434,77.2383872404,3643946.61736,0.143414784329,0.0276318215281,79.4267113951,3643623.56036,0.145498084845,IFG
