,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0457614682915,104.927311159,3229531.35437,rACC
dACC,0.0497040537495,109.110177319,3162402.59251,dACC
vlPFC,0.0286743562281,81.025492163,3382908.22905,vlPFC
vmPFC,0.0328663853778,87.5085932035,3342545.68964,vmPFC
OFCant,0.0324209251098,87.1540212901,3329494.48636,OFCant
OFClat,0.0228768028703,73.0303664916,3202952.03335,OFClat
OFCmed,0.0432980380935,101.182338472,3090568.31802,OFCmed
OFCpost,0.0393976174568,96.4111652562,3287059.19633,OFCpost
dmPFC,0.0251159241272,74.7734703826,3761222.87662,dmPFC
dlPFC,0.0275298577704,78.734088473,3960919.72525,dlPFC
MFG,0.0254910575737,76.3513087039,3911031.46756,MFG
IFG,0.0290459340812,82.0620814374,3643220.04505,IFG
