,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.02503239811082303,68.62859994808905,3235637.47147802,0.13401806294976662,rACC
dACC,0.028407402254440495,73.4209102098612,3168700.5254379134,0.14235627059986905,dACC
vlPFC,0.014878556153978484,49.771205413425655,3386907.4088182803,0.09969830031725921,vlPFC
vmPFC,0.019195368459427375,59.7803955034138,3346525.8980306746,0.11741804567337114,vmPFC
OFCant,0.018108690155364204,57.670943705544346,3333659.177391203,0.11279899930343071,OFCant
OFClat,0.01128416784284969,43.87392999634663,3206292.6939034276,0.0871325397498782,OFClat
OFCmed,0.024818174823983075,68.09710542350442,3096001.7652068404,0.13277306040378875,OFCmed
OFCpost,0.021838804333535355,63.2979672651539,3292202.2699008067,0.1241645456216031,OFCpost
dmPFC,0.014861037130263655,50.61649254151357,3764184.191081844,0.1014918366637018,dmPFC
dlPFC,0.015997461854732054,52.743361635559395,3964258.926426385,0.10487188691556694,dlPFC
MFG,0.014120704674184692,49.709042116009115,3914316.8018018138,0.09896978919560281,MFG
IFG,0.016277546988208713,54.248906675834576,3646923.0357709047,0.10714776706958169,IFG
