,Relative,Absolute
rACC,0.0638549124407,0.0293888949102
dACC,0.0666559864958,0.0283043713804
vlPFC,0.0493897736163,0.0185660159518
vmPFC,0.0590858819436,0.0271200082258
OFCant,0.05388086242,0.021740452647
OFClat,0.0421212197633,0.0154272957318
OFCmed,0.0613305490354,0.0258290965276
OFCpost,0.0595338363626,0.0236276778906
dmPFC,0.0523290840733,0.0249521849955
dlPFC,0.0527424977278,0.0225636270266
MFG,0.0526542295471,0.021341656855
IFG,0.0559313917969,0.0240789237024
V1,0.0577868234944,0.0235008322782
Fusiform,0.0636277285315,0.0259229843525
