,Divisive,ROI
rACC,68.6285999481,rACC
dACC,73.4209102099,dACC
vlPFC,49.7712054134,vlPFC
vmPFC,59.7803955034,vmPFC
OFCant,57.6709437055,OFCant
OFClat,43.8739299963,OFClat
OFCmed,68.0971054235,OFCmed
OFCpost,63.2979672652,OFCpost
dmPFC,50.6164925415,dmPFC
dlPFC,52.7433616356,dlPFC
MFG,49.709042116,MFG
IFG,54.2489066758,IFG
