,Divide Mean,Running Average,ROI
rACC,0.128416794678,0.0487884315093,rACC
dACC,0.135074874122,0.0497823262666,dACC
vlPFC,0.0963366791414,0.0326682922326,vlPFC
vmPFC,0.112353169416,0.040041871215,vmPFC
OFCant,0.108549792521,0.0382239173053,OFCant
OFClat,0.0847422801815,0.0281527717212,OFClat
OFCmed,0.126935950715,0.0459726397722,OFCmed
OFCpost,0.119210706691,0.0417513294411,OFCpost
dmPFC,0.0981467593085,0.0334368877403,dmPFC
dlPFC,0.0999973717339,0.0291528277886,dlPFC
MFG,0.0948879398988,0.0296205123354,MFG
IFG,0.103574456589,0.0388870554254,IFG
