,value,choice,choice_prob
rACC,0.0638549124407,0.0156879829927,0.0132248888783
dACC,0.0666559864958,0.0141251453126,0.0139418795111
vlPFC,0.0493897736163,0.0138830241509,0.00543559202648
vmPFC,0.0590858819436,0.0141887098036,0.0110726946048
OFCant,0.05388086242,0.0118731409665,0.00702368309753
OFClat,0.0421212197633,0.0107721912793,0.00208684475817
OFCmed,0.0613305490354,0.0142853193395,0.0102813290876
OFCpost,0.0595338363626,0.0147935158287,0.00939239340856
dmPFC,0.0523290840733,0.0153461383954,0.00918070820617
dlPFC,0.0527424977278,0.0129528485306,0.00866818206126
MFG,0.0526542295471,0.0131960477148,0.00769920823953
IFG,0.0559313917969,0.0136867861456,0.0095460812673
