,Divisive,ROI
rACC,66.2457531512,rACC
dACC,70.1293617549,dACC
vlPFC,48.4732528643,vlPFC
vmPFC,57.5954925758,vmPFC
OFCant,55.9916314158,OFCant
OFClat,43.1006828145,OFClat
OFCmed,65.590592537,OFCmed
OFCpost,61.2440297477,OFCpost
dmPFC,49.2955905859,dmPFC
dlPFC,50.5908037549,dlPFC
MFG,47.975602598,MFG
IFG,52.8822603394,IFG
