,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.0293888949102,0.0638549124407,0.0134759124404,0.0351110100266,0.114440460755,0.114281025822,rACC
dACC,0.0283043713804,0.0666559864958,0.0169112928334,0.0356950033234,0.118509817849,0.118654345531,dACC
vlPFC,0.0185660159518,0.0493897736163,0.00739372400729,0.0239038453157,0.0932205827237,0.0934492746663,vlPFC
vmPFC,0.0271200082258,0.0590858819436,0.0151865621506,0.0327876281677,0.10479070793,0.104532898846,vmPFC
OFCant,0.021740452647,0.05388086242,0.0131520140125,0.0273629799397,0.0983329884143,0.0988162575592,OFCant
OFClat,0.0154272957318,0.0421212197633,0.00493484809532,0.0193056410355,0.0822828955889,0.0826935798118,OFClat
OFCmed,0.0258290965276,0.0613305490354,0.0141617111094,0.03189129924,0.110933489518,0.111261344163,OFCmed
OFCpost,0.0236276778906,0.0595338363626,0.0126729368085,0.0302534135873,0.10865160848,0.108682532552,OFCpost
dmPFC,0.0249521849955,0.0523290840733,0.0105286485422,0.0278168623087,0.0953048553755,0.0954199704787,dmPFC
dlPFC,0.0225636270266,0.0527424977278,0.0119588033519,0.0270623609156,0.0963708103856,0.0967749173511,dlPFC
MFG,0.021341656855,0.0526542295471,0.0131187234829,0.0268757315453,0.0960408290213,0.0964193660478,MFG
IFG,0.0240789237024,0.0559313917969,0.0136810246083,0.0300544876541,0.0996003029655,0.0998309595069,IFG
