,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0179775009387,51.255740172,3237693.80045,0.0208030498621,58.8022227986,3236872.00148,0.0458477836345,105.049978539,3229493.99405,0.0465045080938,106.016660286,3229297.6247,rACC
dACC,0.0199457632148,53.6815254336,3171173.6423,0.0226436593052,60.6376958715,3170387.44379,0.0500004795004,109.529420239,3162302.0534,0.0509437263889,110.869618825,3162018.73398,dACC
vlPFC,0.0110326078878,36.856952136,3388018.69509,0.013018787311,43.9897813723,3387445.32949,0.0286635562668,80.9991562466,3382899.83924,0.0290473052666,81.7078708783,3382787.13973,vlPFC
vmPFC,0.0131379511876,42.4403066407,3348281.90399,0.0153360549172,49.4152384122,3347645.93709,0.0317289085881,85.5142813228,3342869.3715,0.0335830482546,88.735002318,3342322.70774,vmPFC
OFCant,0.0129666522393,42.6946253304,3335148.8671,0.0150540328422,49.3063500351,3334545.07406,0.0319274440307,86.2875557804,3329628.34804,0.0330134149604,88.1714124114,3329308.22816,OFCant
OFClat,0.00850313401516,33.4599281406,3207093.7877,0.0101689202603,40.0176902692,3206614.21808,0.0221264971573,71.4807272509,3203159.39013,0.0229643569911,73.2014412416,3202914.91568,OFClat
OFCmed,0.0175220353231,49.8477785361,3098127.68352,0.0200238930287,56.738493313,3097400.48666,0.0420713692642,99.2900239587,3090922.20968,0.0441176325172,102.421406747,3090312.32001,OFCmed
OFCpost,0.0154975224149,46.3013659936,3294045.25295,0.0179123851489,53.3888645311,3293344.81854,0.0387526173903,95.3754320752,3287239.07377,0.0400470110265,97.4335754148,3286854.76311,OFCpost
dmPFC,0.0104806950259,35.8911960819,3765449.52587,0.012211100206,42.3089672269,3764950.34009,0.0248651113915,74.2647857429,3761284.68246,0.0258331733118,76.184990647,3761001.40451,dmPFC
dlPFC,0.0108368001948,35.7686759415,3965750.79809,0.0125134890701,42.0217033665,3965266.94722,0.0282896901011,80.1616831928,3960685.23361,0.0286204986878,80.778775566,3960588.12169,dlPFC
MFG,0.0097875866435,34.8159619067,3915567.58711,0.0113920282171,40.9509427237,3915105.09293,0.0258416254097,77.0274880711,3910917.28874,0.0262145267458,77.7478028001,3910808.09289,MFG
IFG,0.0118315871691,40.577442395,3648209.1278,0.0137216558621,46.8639863828,3647663.09222,0.0288009605899,81.6059105791,3643280.43303,0.0295716411672,83.0139154429,3643054.0222,IFG
