4.6696	3.9858	1	3
15.336	2.1874	1	5
24.495	1.852	1	5
34.693	2.6266	1	4
44.99	2.3347	0	2
52.926	2.3527	1	1
64.814	2.5489	0	1
72.476	2.9449	0	5
81.214	2.2832	0	5
89.524	2.2307	1	5
101.38	2.1848	1	5
111.25	2.7307	1	4
122.37	2.8764	0	3
134.7	2.3692	0	2
147.19	2.2066	0	5
158.79	1.5055	1	1
168.92	2.1831	0	5
176.91	2.5639	1	2
187.43	1.8242	0	5
199.62	2.0013	1	2
210.47	1.4835	1	1
220.19	1.8233	0	5
229	2.5812	0	4
239.77	2.1157	1	5
251.04	2.0418	1	3
259.61	1.9469	0	5
270.81	2.1999	0	3
282.82	1.6649	0	5
290.88	1.6069	1	5
303.14	1.7316	0	1
310.97	2.1146	1	4
322.31	2.7666	0	1
334.08	2.002	1	3
343.87	2.3745	1	3
353.04	1.8684	1	3
362.48	2.3343	1	4
374.15	1.7071	0	2
384.61	1.802	1	3
394.57	1.755	0	2
406	2.2915	0	5
415.65	2.6	1	5
428.06	2.7357	1	3
439.58	1.5715	1	2
449.12	1.5812	1	5
460.06	2.1759	0	1
469.04	1.9351	0	3
480.07	1.8839	1	4
488.72	2.3017	1	1
496.2	2.7885	1	4
506.58	1.8662	1	4
515.88	2.3439	1	3
523.47	3.6544	0	5
531.22	3.2467	1	2
540.1	2.3167	0	2
549.5	2.066	1	1
560.1	2.2246	0	4
568.59	2.9965	0	5
576.75	3.8735	1	2
585.8	1.6758	0	3
597.89	1.8779	0	1
603.04	3.1607	1	5
609.64	3.1803	0	3
