,Weighted RW Update by day_adjr2,Weighted RW Update by day_tval,Weighted RW Update by day_bic,ROI
rACC,0.0680929688139,115.247363453,3138183.79874,rACC
dACC,0.0823409019729,122.617126714,2991855.11194,dACC
vlPFC,0.0724348784329,116.922216426,3191684.52694,vlPFC
vmPFC,0.0670493849184,110.833829769,3176304.5508,vmPFC
OFCant,0.0701260162336,111.736433669,2996096.66065,OFCant
OFClat,0.0588056885591,103.063334124,2858156.32148,OFClat
OFCmed,0.0871131029854,124.869128132,2841674.6899,OFCmed
OFCpost,0.0832792357403,121.92482292,2990512.70616,OFCpost
dmPFC,0.0530964730853,99.7275847189,3658130.71827,dmPFC
dlPFC,0.0675954052553,111.617543053,3777184.30461,dlPFC
MFG,0.0654963034069,108.58489471,3731584.81259,MFG
IFG,0.0671686428067,111.321864516,3452586.57179,IFG
