,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0624949014816,107.175019997,3139879.91197,rACC
dACC,0.0837649813121,124.508568151,2991386.15231,dACC
vlPFC,0.0708613820061,114.714567855,3192147.94206,vlPFC
vmPFC,0.0628482267537,104.59516964,3177571.17496,vmPFC
OFCant,0.0690722717824,110.199304333,2996398.64262,OFCant
OFClat,0.0531996420915,94.1138900371,2859837.93937,OFClat
OFCmed,0.0834140124318,119.86990112,2842812.3988,OFCmed
OFCpost,0.0804153845735,117.99701035,2991384.95686,OFCpost
dmPFC,0.0493317798788,93.6343368575,3659246.616,dmPFC
dlPFC,0.065581236603,108.67741646,3777780.60651,dlPFC
MFG,0.0651430274198,108.053995245,3731670.17662,MFG
IFG,0.0670137624572,111.088980375,3452611.09445,IFG
