,Subtract Mean_adjr2,Subtract Mean_tval,Subtract Mean_bic,Subtract Mean_corr,Subtract Median_adjr2,Subtract Median_tval,Subtract Median_bic,Subtract Median_corr,Z-score_adjr2,Z-score_tval,Z-score_bic,Z-score_corr,ROI
rACC,0.03392252547992003,51.52549148364858,3148474.87541263,0.06274193412651188,0.03386619511959643,51.361315221982196,3148491.612971034,0.06107723090953893,0.04369029869861507,74.92657084217765,3145557.6993998,0.10785835422286415,rACC
dACC,0.04470504341541426,55.9410934699986,3003347.0234841155,0.06604889260920759,0.04453933063524873,55.48943039821637,3003396.814965413,0.06370695985952671,0.0571251731243545,83.37809890145361,2999590.3671845514,0.11857510240472768,dACC
vlPFC,0.0379142270885483,53.631799418855316,3202127.6395012713,0.06414250440174966,0.03782179721598122,53.3715101069391,3202155.216810834,0.0622361046057875,0.04885086476006373,78.80425965402272,3198845.7462749584,0.11242084838977048,vlPFC
vmPFC,0.034995894369972746,48.34511144902795,3185955.2268675566,0.05609966445926869,0.03496217782666167,48.24042873047099,3185965.256395414,0.05449544796697951,0.04430114401109453,71.79800653908693,3183173.750273336,0.10165473475277906,vmPFC
OFCant,0.03756082780201164,48.43240123770227,3005931.544635372,0.05553769913443852,0.03743269595206855,48.03304978765597,3005969.759215411,0.05340235019551247,0.04722370925308528,72.66881133337206,3003034.888877811,0.10268468358421873,OFCant
OFClat,0.029656488290020322,40.93597297464031,2866865.564905251,0.04467079590469545,0.029614346537186642,40.78253164025639,2866878.031615114,0.043087498422472593,0.03710220198321501,62.517230393543706,2864654.3721524454,0.08695021191970759,OFClat
OFCmed,0.04724857037533192,54.0833128076097,2853897.99522242,0.062388173200678264,0.047245210608467314,54.073858227784086,2853899.0075077917,0.06071325151220167,0.05954951586510815,81.96286346979105,2850167.6256517246,0.11605907406842512,OFCmed
OFCpost,0.04485974547607974,52.12629014314292,3002251.8054001904,0.0594873954931955,0.044817503797090485,52.003223850671475,3002264.500572888,0.05766696121857473,0.056571205033580374,79.46264821095785,2998710.2476828303,0.1121695793353438,OFCpost
dmPFC,0.025231926746146938,38.09903335409092,3666409.8931495096,0.043252272986973414,0.02510547931455276,37.60473169761866,3666447.128439682,0.04122202277757237,0.03226261554827492,59.56145113675289,3664331.9114756295,0.08494245322006196,dmPFC
dlPFC,0.033288862364584615,42.72367371253816,3787510.3800745183,0.047018378494699434,0.03307747666923755,41.97806488416008,3787573.1433482016,0.04439623985930948,0.04220375069391191,67.18731541756422,3784850.8578705937,0.0943495216202524,dlPFC
MFG,0.033991893726776246,45.17043328486766,3741056.5220395015,0.05210481858559022,0.033793004126018156,44.50683975892979,3741115.6184080383,0.049617104535008685,0.0430473091360456,69.10874129800224,3738352.903929569,0.09854930889260763,MFG
IFG,0.03477722593753019,48.36821314503978,3462338.9850499416,0.056663646008995865,0.03466683544914129,48.02489227390109,3462371.8137324867,0.054680892948312215,0.045117583881415846,73.98194659395841,3459247.131330018,0.10565558720779898,IFG
