,Divisive,ROI
rACC,103.727689795,rACC
dACC,117.815721808,dACC
vlPFC,110.148901854,vlPFC
vmPFC,100.827690707,vmPFC
OFCant,102.883281075,OFCant
OFClat,89.361345863,OFClat
OFCmed,117.313232498,OFCmed
OFCpost,114.115712446,OFCpost
dmPFC,86.3424543478,dmPFC
dlPFC,98.0164891457,dlPFC
MFG,99.1543463568,MFG
IFG,106.485249151,IFG
