,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,Advanced Fractional Model_corr,ROI
rACC,0.062494901481617404,107.1750199972519,3139879.9119742177,0.18857313995972771,rACC
dACC,0.08376498131214594,124.5085681510574,2991386.1523099714,0.21707231447433714,dACC
vlPFC,0.07086138200612901,114.71456785532693,3192147.9420607626,0.20050575257653383,vlPFC
vmPFC,0.06284822675367863,104.59516963998075,3177571.174958856,0.18420114328617923,vmPFC
OFCant,0.06907227178236719,110.19930433297404,2996398.642622909,0.19381863441241973,OFCant
OFClat,0.053199642091480204,94.11389003709573,2859837.9393651313,0.16616520540477836,OFClat
OFCmed,0.08341401243182411,119.86990112000056,2842812.3988014525,0.21049915158245736,OFCmed
OFCpost,0.08041538457349795,117.99701035004341,2991384.956855867,0.20708222247408403,OFCpost
dmPFC,0.04933177987876236,93.63433685749409,3659246.6160004498,0.1662179405536158,dmPFC
dlPFC,0.06558123660304094,108.67741645963555,3777780.6065103514,0.19083892126028218,dlPFC
MFG,0.06514302741975497,108.05399524450361,3731670.176617341,0.19071010894512555,MFG
IFG,0.06701376245721613,111.08898037504315,3452611.094453682,0.1949652972652014,IFG
