,Divide Mean,Running Average,ROI
rACC,0.168523057001,0.0657849646576,rACC
dACC,0.189885776601,0.0634681645775,dACC
vlPFC,0.177739913737,0.0633182701256,vlPFC
vmPFC,0.163363657601,0.0624511088232,vmPFC
OFCant,0.166868766427,0.055421991435,OFCant
OFClat,0.144656693529,0.0491307187227,OFClat
OFCmed,0.189564403936,0.0715928678221,OFCmed
OFCpost,0.184355517889,0.0661339406786,OFCpost
dmPFC,0.141579095885,0.0377901076786,dmPFC
dlPFC,0.159028519378,0.0375668954987,dlPFC
MFG,0.161900125031,0.043537665387,MFG
IFG,0.172615787381,0.0550628123516,IFG
