,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0732128291725,122.225246453,3136579.21391,0.198196292986,0.068424933024,115.706234633,3138069.95614,0.184717974084,rACC
dACC,0.0862875669992,127.818971638,2990594.72365,0.206113797089,0.0829344068645,123.407509452,2991657.82497,0.195700011883,dACC
vlPFC,0.0764432262964,122.367851027,3190418.20855,0.19757680787,0.0735189089318,118.412928569,3191337.27974,0.187953890789,vlPFC
vmPFC,0.0724256242327,118.393502584,3174622.40795,0.191609184368,0.0676259406913,111.661087659,3176115.52722,0.177780708422,vmPFC
OFCant,0.0722806771912,114.7982291,2995407.5895,0.186249380125,0.0697404031766,111.174732714,2996204.11099,0.177241038957,OFCant
OFClat,0.0611525940244,106.602529102,2857416.49469,0.172693931503,0.058034603579,101.869219677,2858379.83602,0.162082245178,OFClat
OFCmed,0.0924467120709,131.790799997,2839969.46129,0.212512049403,0.089423239971,127.902549374,2840935.7698,0.202843589419,OFCmed
OFCpost,0.0879930713596,128.156437244,2989009.67754,0.206736613539,0.0847096511542,123.840429842,2990052.8701,0.196460480203,OFCpost
dmPFC,0.0548443951604,102.434259201,3657577.19789,0.167888607767,0.0513920508671,97.0098826827,3658635.39492,0.156380453703,dmPFC
dlPFC,0.0682822338485,112.592978408,3776949.63675,0.18267614439,0.0651127000366,107.990919552,3777936.07608,0.172200347082,dlPFC
MFG,0.0662169242557,109.632212948,3731340.23192,0.179104199434,0.0641289278585,106.550472126,3731992.96882,0.171081867969,MFG
IFG,0.0707337607986,116.358470697,3451464.23829,0.18886947262,0.0686524686946,113.439830227,3452118.0218,0.18096205467,IFG
