,Divisive,ROI
rACC,107.175019997,rACC
dACC,124.508568151,dACC
vlPFC,114.714567855,vlPFC
vmPFC,104.59516964,vmPFC
OFCant,110.199304333,OFCant
OFClat,94.1138900371,OFClat
OFCmed,119.86990112,OFCmed
OFCpost,117.99701035,OFCpost
dmPFC,93.6343368575,dmPFC
dlPFC,108.67741646,dlPFC
MFG,108.053995245,MFG
IFG,111.088980375,IFG
