,value,choice,choice_prob
rACC,0.114129280608,-0.0299848619762,0.0238210995499
dACC,0.120417337738,-0.0327160182226,0.0252045427504
vlPFC,0.11859006257,-0.0315199272256,0.024840403162
vmPFC,0.10935380413,-0.0313968702129,0.0213525343105
OFCant,0.109916461466,-0.0318738266436,0.0192120410592
OFClat,0.0988218993179,-0.0305422526604,0.019697345
OFCmed,0.117985041905,-0.0335459412439,0.0209995522791
OFCpost,0.117710135802,-0.0328633823793,0.0230717554926
dmPFC,0.0989984563226,-0.0267799856922,0.0208931519024
dlPFC,0.102255253456,-0.0305884817442,0.0201050274079
MFG,0.106361057849,-0.02940449697,0.0220838118168
IFG,0.111311145341,-0.0307858984648,0.022813967651
