,Absolute_adjr2,Absolute_tval,Absolute_bic,Absolute_corr,ROI
rACC,0.029889075693585454,38.083323255223426,3149670.8827895112,0.058271311275244875,rACC
dACC,0.03897819349901621,37.41863942857492,3005062.773395159,0.056425298332479654,dACC
vlPFC,0.033042216146405234,37.62376134468037,3203577.65062398,0.056605118881816435,vlPFC
vmPFC,0.03159235773473035,36.333963600123234,3186965.899985021,0.05468274749460968,vmPFC
OFCant,0.03321856430582226,32.33976405181066,3007223.772803905,0.04828163463405104,OFCant
OFClat,0.026868834529086838,29.13153458304874,2867689.0664763916,0.04233255549704341,OFClat
OFCmed,0.043352811859518336,41.762588691533075,2855069.3817277905,0.06390191827412303,OFCmed
OFCpost,0.040719801328887195,38.29598681776842,3003493.3491346133,0.05797318587395896,OFCpost
dmPFC,0.02190784673527313,21.703306246293586,3667387.1414344697,0.031925371179108944,dmPFC
dlPFC,0.028766795520492217,21.915277893777535,3788850.0587826855,0.030954254078498555,dlPFC
MFG,0.02929737087971296,25.34239479383736,3742448.1775280954,0.0376874430607931,MFG
IFG,0.030466005698627452,32.444276938883846,3463618.3037338983,0.048681034619531924,IFG
