,Simple Fractional Model_adjr2,Simple Fractional Model_tval,Simple Fractional Model_bic,ROI
rACC,0.0602061877142,103.727689795,3140579.85463,rACC
dACC,0.0788271100815,117.815721808,2992929.05812,dACC
vlPFC,0.0676730888062,110.148901854,3193131.29149,vlPFC
vmPFC,0.060408010826,100.827690707,3178317.67135,vmPFC
OFCant,0.0641964672048,102.883281075,2997898.22272,OFCant
OFClat,0.0504014405179,89.361345863,2860685.07666,OFClat
OFCmed,0.0815663311102,117.313232498,2843390.48245,OFCmed
OFCpost,0.0776545976368,114.115712446,2992245.48342,OFCpost
dmPFC,0.0450955102499,86.3424543478,3660522.94599,dmPFC
dlPFC,0.058640581234,98.0164891457,3779904.95211,dlPFC
MFG,0.0593362758863,99.1543463568,3733447.7067,MFG
IFG,0.0638819124589,106.485249151,3453573.08766,IFG
