,MC_adjr2,MC_tval,MC_bic,MC by day_adjr2,MC by day_tval,MC by day_bic,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,ROI
rACC,0.0413702005154,70.0549675473,3146276.42807,0.0429668914129,73.4493271104,3145797.90151,0.0676019153568,114.554502902,3138323.45366,0.0728567442421,121.754163241,3136701.05311,rACC
dACC,0.0528642739363,75.0419024539,3000907.82292,0.0529274329191,75.1718434085,3000888.67985,0.0843907344024,125.340397226,2991201.60119,0.0891932129726,131.554677146,2989691.96983,dACC
vlPFC,0.0454039645023,71.7858494196,3199907.29039,0.0466079277481,74.3116142624,3199545.01252,0.0732982926909,118.109886477,3191405.62736,0.0778336006216,124.218851499,3189997.29257,vlPFC
vmPFC,0.0424653213835,67.7993185418,3183747.77788,0.0439158675054,70.9875735701,3183312.5864,0.067133096974,110.950243848,3176267.22474,0.0717708516557,117.497628623,3174836.53958,vmPFC
OFCant,0.0442549535099,66.1416958082,3003951.08651,0.0448565821805,67.5151183379,3003770.32857,0.0715904663669,113.826508507,2995632.64708,0.0758974936618,119.811362343,2994297.83061,OFCant
OFClat,0.0352941677887,58.0095451333,2865216.01633,0.0366010032704,61.3111650456,2864826.88649,0.0580150645657,101.838933817,2858385.79041,0.0632953364019,109.762411003,2856772.15066,OFClat
OFCmed,0.0575927297332,78.1662986117,2850787.42501,0.0580197285902,79.0117847158,2850657.32998,0.0866615481952,124.264298765,2841805.08061,0.0929776111077,132.469099293,2839813.05511,OFCmed
OFCpost,0.0542814076448,74.8734667212,2999429.26456,0.0549224585798,76.1875985727,2999234.61562,0.0840435864494,122.949414308,2990261.6909,0.08914555961,129.649986573,2988658.26127,OFCpost
dmPFC,0.0292772498512,51.5350489968,3665239.23552,0.030759836209,55.6688016672,3664800.47166,0.0534995383492,100.354539354,3657996.93254,0.0578615171311,106.989219711,3656670.94461,dmPFC
dlPFC,0.0378423290723,56.5197490734,3786178.18674,0.0391829937216,59.9956632898,3785777.91876,0.0690695464828,113.717703818,3776718.53166,0.0741651016678,120.759143571,3775142.95418,dlPFC
MFG,0.0386521043112,58.6839819238,3739691.46778,0.0395474008224,60.9475376409,3739424.00533,0.0666953536628,110.33392987,3731204.68422,0.0714691840344,117.098236568,3729732.60621,MFG
IFG,0.0418847867064,66.9950012044,3460240.48263,0.0424894366508,68.3552116332,3460059.26621,0.0688547247149,113.726612246,3452055.67544,0.0726197475376,118.96072913,3450892.61077,IFG
