,MC_adjr2,MC_tval,MC_bic,MC_corr,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update_adjr2,RW Update_tval,RW Update_bic,RW Update_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.06386454497408578,109.19376001165,3139460.2249644753,0.17810149882623272,0.07321282917248007,122.22524645344863,3136579.2139143394,0.19819629298637897,0.06760191535683491,114.5545029017729,3138323.4536645752,0.19943439686207948,0.07285674424207422,121.75416324083447,3136701.0531111034,0.21039959284439502,rACC
dACC,0.08241335132510463,122.70577349513788,2991809.312678153,0.19850117242588305,0.08628756699921425,127.81897163757354,2990594.7236512606,0.2061137970888023,0.08439073440241618,125.34039722639139,2991201.601192153,0.21716806745362655,0.08919321297255822,131.55467714586717,2989691.969828485,0.22629113296076414,dACC
vlPFC,0.07042149599255532,114.09367676964968,3192283.814399598,0.1849511584119002,0.07644322629635336,122.36785102671399,3190418.208550143,0.19757680787032364,0.07329829269085664,118.10988647749603,3191405.6273638764,0.20484579686505971,0.07783360062164557,124.21885149928647,3189997.2925707684,0.21398006715323045,vlPFC
vmPFC,0.06458107385402745,107.20159576807822,3177039.8914525784,0.1743485906929263,0.07242562423265142,118.39350258435788,3174622.4079514476,0.19160918436846816,0.06713309697404557,110.95024384752836,3176267.2247372824,0.19337192828014677,0.07177085165569064,117.49762862269118,3174836.539575772,0.20330516837209847,vmPFC
OFCant,0.06781408796965138,108.351523203159,2996786.3544087755,0.17639560165872134,0.07228067719122466,114.79822910004569,2995407.589502451,0.18624938012459843,0.07159046636685407,113.82650850654409,2995632.6470812913,0.19849936026830692,0.07589749366184162,119.81136234289535,2994297.8306122026,0.20746137009577276,OFCant
OFClat,0.05343713009614881,94.50749987150377,2859765.9261946375,0.15373052483863764,0.06115259402440909,106.6025291021451,2857416.494686527,0.17269393150295254,0.05801506456567018,101.83893381708496,2858385.7904092837,0.1777622601825124,0.06329533640186957,109.7624110033821,2856772.150662041,0.1900739748650583,OFClat
OFCmed,0.08564089749654868,122.89386167000971,2842114.123170754,0.19918100881552886,0.09244671207093591,131.79079999738772,2839969.4612921197,0.212512049403246,0.08666154819518268,124.26429876479621,2841805.0806119163,0.21613087416477197,0.09297761110768088,132.46909929288577,2839813.0551068797,0.2283275025365745,OFCmed
OFCpost,0.08165984014221073,119.71280505649753,2990996.2198200463,0.19402464728933413,0.0879930713596252,128.1564372441354,2989009.677537011,0.20673661353851977,0.0840435864493505,122.94941430805315,2990261.6908996445,0.21365471287413274,0.0891455596099664,129.6499865731316,2988658.2612701654,0.22354574606988828,OFCpost
dmPFC,0.04743773696399345,90.43883963926415,3659817.9666986,0.14895390585535861,0.05484439516044448,102.43425920127487,3657577.197888373,0.16788860776651332,0.053499538349238374,100.35453935367804,3657996.9325398696,0.17630104758980458,0.05786151713114185,106.98921971096212,3656670.9446148975,0.18661281744392352,dmPFC
dlPFC,0.06112600339921437,101.94395561760466,3779146.037624325,0.16615447440397763,0.06828223384846277,112.5929784080708,3776949.636750725,0.18267614439039556,0.06906954648282548,113.7177038177265,3776718.531657918,0.1978797486015747,0.07416510166784673,120.75914357081805,3775142.954175693,0.20856597525656262,dlPFC
MFG,0.06122439463979301,102.12101425952821,3732870.933156124,0.16748479756720894,0.06621692425570469,109.6322129476001,3731340.231924312,0.17910419943366593,0.06669535366280765,110.33392987022131,3731204.6842175997,0.19331435514138434,0.07146918403435232,117.0982365678357,3729732.606205171,0.20360131590263258,MFG
IFG,0.06644922971555278,110.27108260849003,3452784.737234528,0.1795592337291743,0.07073376079859073,116.35847069744077,3451464.2382914904,0.18886947261986167,0.06885472471491683,113.72661224585863,3452055.675444664,0.1981467446212536,0.07261974753758205,118.96072913041056,3450892.610769086,0.20595699354527486,IFG
