,Relative,Absolute
rACC,0.114129280608,0.0578159798754
dACC,0.120417337738,0.0613716365188
vlPFC,0.11859006257,0.0621427413971
vmPFC,0.10935380413,0.0564092049003
OFCant,0.109916461466,0.054193494278
OFClat,0.0988218993179,0.0531789649209
OFCmed,0.117985041905,0.0610581672081
OFCpost,0.117710135802,0.059909461135
dmPFC,0.0989984563226,0.0445715922092
dlPFC,0.102255253456,0.0407798615187
MFG,0.106361057849,0.0458189551437
IFG,0.111311145341,0.0556267659047
V1,0.102415410741,0.0547800617809
Fusiform,0.113441976448,0.051206411267
