,Advanced Fractional Model_adjr2,Advanced Fractional Model_tval,Advanced Fractional Model_bic,ROI
rACC,0.0355408728449,84.1487719171,3176480.64794,rACC
dACC,0.0634740566656,108.84106601,2941848.45876,dACC
vlPFC,0.0386723804736,88.177785406,3316647.83976,vlPFC
vmPFC,0.0353613840955,87.5597387554,3197444.27978,vmPFC
OFCant,0.0410536008254,91.447202349,3051827.81481,OFCant
OFClat,0.033488998822,81.625492956,2994081.3876,OFClat
OFCmed,0.0598176644038,107.418879634,2777589.78654,OFCmed
OFCpost,0.0479287122594,97.7983441863,3086748.5761,OFCpost
dmPFC,0.0260650584727,74.7130471933,3733982.06484,dmPFC
dlPFC,0.0365301735111,87.0325607569,3782722.24223,dlPFC
MFG,0.0412106160636,91.722623259,3717887.24452,MFG
IFG,0.0454746279065,94.4137764243,3419600.80619,IFG
