,MC by day_adjr2,MC by day_tval,MC by day_bic,MC by day_corr,RW Update by day_adjr2,RW Update by day_tval,RW Update by day_bic,RW Update by day_corr,ROI
rACC,0.0256422154425,63.8767827645,3179424.51304,0.115124805127,0.0269525178592,66.8952196344,3179048.12213,0.120592945616,rACC
dACC,0.0484218925046,84.253838337,2946445.27202,0.150630657819,0.0520959456762,90.800202352,2945341.55994,0.162045570588,dACC
vlPFC,0.0293493666593,70.2252980274,3319430.3201,0.125472936356,0.0317281434638,75.1863613613,3318734.48686,0.134146687101,vlPFC
vmPFC,0.025538290623,68.4343194006,3200365.24476,0.12166146416,0.0257821512971,68.975424849,3200304.65991,0.122781568342,vmPFC
OFCant,0.027923009821,65.9955206021,3055748.64535,0.118756345245,0.0302840127879,71.1965798236,3055059.13566,0.127923256796,OFCant
OFClat,0.0228149740258,58.6585684807,2997247.88302,0.105966699758,0.0250107895215,64.0224397675,2996610.89187,0.115445321242,OFClat
OFCmed,0.0456817622156,84.246705702,2781892.19351,0.14979607632,0.0482732458816,88.8980733469,2781119.81187,0.157999497201,OFCmed
OFCpost,0.0328523804841,70.1523208164,3091278.12282,0.126500142327,0.036142468683,76.9626575785,3090307.27009,0.138406577716,OFCpost
dmPFC,0.0175745394598,55.1564586981,3736484.49946,0.0989642878997,0.0178918914994,56.0123794244,3736402.92685,0.100643521858,dmPFC
dlPFC,0.0269557239347,68.2891073808,3785573.07229,0.12226926903,0.0276169322257,69.739709661,3785388.67025,0.125007816278,dlPFC
MFG,0.0308174344271,72.3273413046,3720995.57117,0.128969161861,0.0321604887369,75.097171784,3720607.35125,0.133944246646,MFG
IFG,0.0361393026879,77.6877679389,3422406.70178,0.137731177231,0.0377824497005,80.8642703838,3421926.37304,0.143389191043,IFG
