,Absolute,Relative,WTP - Ref,Subtract Mean,Divide Mean,Subtract and Divide Mean,ROI
rACC,0.101690551762,0.131416244711,0.108940112911,0.0999073375582,0.148328055727,0.149771709087,rACC
dACC,0.122169745687,0.164571351639,0.13713750256,0.127569556728,0.185370905485,0.187147530756,dACC
vlPFC,0.10261967875,0.138631344379,0.115720207845,0.10795688784,0.155361169501,0.156329797854,vlPFC
vmPFC,0.0949229579239,0.12697254624,0.102785145844,0.0951799438448,0.144012516495,0.144639124027,vmPFC
OFCant,0.100714573531,0.135660072692,0.112636832379,0.104236038746,0.152579084499,0.153482769642,OFCant
OFClat,0.0992561771139,0.12768172732,0.107684131053,0.0994300807571,0.143205601021,0.144238520293,OFClat
OFCmed,0.113094402194,0.154911799575,0.127694889768,0.118938818833,0.17476483549,0.176245115851,OFCmed
OFCpost,0.118221880805,0.151767085836,0.129340596685,0.119430170003,0.169758237407,0.171136133556,OFCpost
dmPFC,0.0873170584513,0.116017377117,0.0931638665575,0.0852999154986,0.131812031937,0.132119959804,dmPFC
dlPFC,0.0970975953375,0.130875215674,0.106554785781,0.098584652169,0.147921362217,0.148565932434,dlPFC
MFG,0.100412856967,0.137109022659,0.112246332576,0.105383307166,0.154131406416,0.154872085345,MFG
IFG,0.108035888059,0.147055054163,0.122244108837,0.114168697725,0.165073794018,0.166217972442,IFG
