,Divide Mean,Running Average,ROI
rACC,0.150403122552,0.0972270329663,rACC
dACC,0.191935146332,0.108759486082,dACC
vlPFC,0.156231658191,0.0912122333199,vlPFC
vmPFC,0.154742847234,0.100543530283,vmPFC
OFCant,0.162292108132,0.102776317188,OFCant
OFClat,0.145631866924,0.0900945257121,OFClat
OFCmed,0.188789284361,0.109472548857,OFCmed
OFCpost,0.173606332434,0.110766025265,OFCpost
dmPFC,0.133204653105,0.0834559440464,dmPFC
dlPFC,0.1547524258,0.0972336314795,dlPFC
MFG,0.162281938362,0.0997248165413,MFG
IFG,0.166309570876,0.0952381896596,IFG
